Condition,Generation,width(um),Lb(um),Ld(um),growth rate(1/min),Doubling time(min)
Cell-Tak,G2,0.996861622,2.322803177,3.530655866,0.002844125,145.708428
Cell-Tak,G2,0.90631668,2.502206511,3.542965646,0.002385798,147.4540979
Cell-Tak,G2,0.963414362,3.096075832,4.542188752,0.00473681,80.23308951
Cell-Tak,G2,0.92246512,2.496501433,4.002274878,0.004529791,103.3105013
Cell-Tak,G2,0.922511362,2.756963817,4.497035704,0.006083726,79.83065101
Cell-Tak,G2,0.943511227,2.676412626,4.571338904,0.004888181,108.7519852
Cell-Tak,G1,0.867817121,2.613508492,5.921491175,0.005553055,147.9777183
Cell-Tak,G1,0.935434643,3.345474028,4.4409203,0.001459659,196.1052705
Cell-Tak,G1,0.913092629,2.732234935,5.403252329,0.004641241,147.7078781
Cell-Tak,G1,0.908337481,2.64915535,4.631857433,0.005335238,104.0158785
Cell-Tak,G1,0.999659027,2.654130144,4.336008721,0.002387191,204.0376042
Cell-Tak,G2,0.929482157,2.546255768,3.845385675,0.001828845,227.5671349
Cell-Tak,G2,0.989940847,2.779482841,4.505849284,0.00251891,193.2247795
Cell-Tak,G2,0.916054869,3.345330042,4.866095381,0.005527752,68.18630207
Cell-Tak,G2,0.924850418,2.544527994,4.411062072,0.003764999,147.1734931
Cell-Tak,G2,0.910773163,3.027527117,5.229169093,0.004887553,112.4928544
Cell-Tak,G2,0.901122143,3.059428661,4.456674557,0.004523644,83.44619526
Cell-Tak,G2,0.903787411,2.45962788,4.330529988,0.004121361,136.2711129
Cell-Tak,G2,1.011041341,2.379150102,4.358441021,0.004311209,141.3949548
Cell-Tak,G1,0.93175376,2.799614277,5.32835623,0.00495709,130.5482591
Cell-Tak,G1,0.91943219,2.742578084,4.81322471,0.003916319,144.554554
Cell-Tak,G1,0.937039059,2.446663803,3.73994839,0.003920409,109.2850239
Cell-Tak,G1,0.938003209,2.563538932,3.710801163,0.003912583,93.53561097
Cell-Tak,G1,0.923574997,2.59099998,3.770529986,0.00350353,108.1876415
Cell-Tak,G2,0.969068335,2.172722017,3.510137976,0.002300268,206.5336117
Cell-Tak,G2,0.889908009,1.962127699,3.887002009,0.004164613,162.9263529
Cell-Tak,G1,0.905929043,2.523709656,4.991720626,0.004113001,166.7933307
Cell-Tak,G1,0.927121856,3.665213828,4.949834304,0.004208888,72.03791816
Cell-Tak,G1,0.968805381,3.143430893,5.252999335,0.004491141,115.0421913
Cell-Tak,G1,0.905776732,2.473918258,4.139189905,0.002726846,190.2370599
Cell-Tak,G1,0.917004466,2.353077689,5.286049616,0.003963417,205.2788957
Cell-Tak,G1,0.94063821,2.318271555,3.759728542,0.002228453,218.9176889
Cell-Tak,G2,0.956220381,2.900411888,4.433394838,0.00444971,96.13360071
Cell-Tak,G2,0.925433403,3.311306695,4.616595672,0.002152009,155.8261105
Cell-Tak,G2,1.143387159,2.3618424,3.948549225,0.003662819,141.461884
Cell-Tak,G1,0.969268002,2.598679632,3.960490455,0.002979393,142.7203428
Cell-Tak,G1,0.949873668,2.847925354,4.723115156,0.004076055,123.2497288
Cell-Tak,G1,0.914231073,2.665831201,4.108422693,0.001907415,228.7291757
Cell-Tak,G2,0.89223269,2.569061161,3.863488019,0.004270602,96.45712444
"Gel pad, LB",G1,1.082212002,2.922105222,4.789101038,0.008563684,58.0902403
"Gel pad, LB",G1,1.063298097,4.641485843,6.345598304,0.007570132,41.59552976
"Gel pad, LB",G1,1.13507379,3.572241673,5.413080864,0.009108523,45.93811343
"Gel pad, LB",G1,1.176043826,3.416169757,6.354588412,0.008557869,72.86728914
"Gel pad, LB",G1,1.103296817,2.647129342,4.914894907,0.007875742,79.05026039
"Gel pad, LB",G1,1.037212715,2.677999392,4.972473114,0.008514854,73.11791785
"Gel pad, LB",G1,1.026358233,3.50946233,5.328709597,0.008118326,51.79636676
"Gel pad, LB",G1,0.957737712,3.977105307,5.56803701,0.006912465,49.04268785
"Gel pad, LB",G1,1.071688689,3.427543729,5.995138144,0.008704112,64.57025821
"Gel pad, LB",G1,0.986576366,3.086755387,5.404702397,0.008930168,63.08882703
"Gel pad, LB",G1,1.020295435,2.882953028,5.353745005,0.007467092,83.359878
"Gel pad, LB",G1,1.125903037,2.950145705,4.591621015,0.008807928,50.61053734
"Gel pad, LB",G1,1.051498542,2.767170479,4.239293324,0.006474054,66.44856756
"Gel pad, LB",G1,1.156616852,2.784254711,7.328601673,0.008791232,110.496748
"Gel pad, LB",G1,1.082042267,3.217064907,5.498012042,0.007294039,73.90013269
"Gel pad, LB",G1,1.036019987,4.119497131,6.497392921,0.007902116,57.97185776
"Gel pad, LB",G1,1.049659964,4.282845329,7.287530734,0.007295575,72.53917838
"Gel pad, LB",G1,1.013635861,3.535902451,7.210146845,0.0088575,80.76239072
"Gel pad, LB",G1,1.087320831,3.522341336,6.656264445,0.008724918,73.27009583
"Gel pad, LB",G1,1.077277038,3.941499089,5.163365837,0.008652262,31.50249909
"Gel pad, LB",G2,0.978749421,2.817059722,5.279909935,0.007719351,81.84256356
"Gel pad, LB",G2,0.963518841,3.682117643,9.330401412,0.010283028,90.68433313
"Gel pad, LB",G2,1.01281431,3.525044033,5.21189131,0.011403932,34.5399069
