Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_3,1_30,1_31,1_32,1_4,1_5,1_6,1_7,1_8,2_1,2_10,2_11,2_12,2_13,2_15,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_4,2_5,2_6,2_7,2_8,2_9
205,8.008527417,0.252509881,,,,,8.133697208,8.036176702,8.591641307,8.409106173,,,,,,,,7.811905946,7.712408511,7.97446859,7.481000554,7.952634877,7.930705962,8.024536978,7.834040267,,,7.618246245,,,,,7.563674857,,,,,8.198874088,8.033036306,8.210518933,7.894080219,,,,8.269700352,8.181963717,7.963056165,8.433490437,,,,7.914905033,7.972302097,7.984139843,,8.05836303,7.666818055,,7.959380617,8.037456356,,8.404494072,8.040795338,7.97525852
210,7.981491033,0.293020661,,,,,8.253075652,8.050701058,8.761338054,8.305455098,,,,,,,,7.765128978,7.585499159,7.980558117,7.56926897,,7.887957429,8.069711767,7.745683462,,,7.685034847,,,,,7.544868223,,,,,8.116773757,8.045120527,8.084602705,7.694595252,,,,8.113639809,8.137478559,7.7997298,8.349944874,,,,8.020166371,8.013857893,7.954666968,,7.986989856,7.69457,,8.04038332,7.936475163,,8.715388638,7.809561286,7.70799643
215,7.940704068,0.258480293,,,,,8.035086666,8.104366746,8.5102227,8.41334366,,,,,,,,7.858049498,7.525764776,8.038727144,7.685341609,,7.941779351,7.964953895,7.743287436,,,7.634080852,,,,,7.564978336,,,,,8.230340577,7.868530162,7.890959805,7.786006685,,,7.722808167,8.103881671,8.103173201,8.190868923,8.332999787,,,,7.800798829,7.766609555,7.989706779,7.874436102,7.8932332,7.576816735,,7.991655661,7.915076054,,8.501743391,7.791851697,7.691754605
220,7.936089255,0.257829347,,,,,7.91785559,8.102944315,8.432522687,8.213771797,,,,,,,,7.793268388,7.600606825,7.908484387,7.756652031,,7.935772692,8.122449256,7.596154872,,,7.662855415,,,,,7.611254225,,,,,8.199473373,8.246133951,7.967878382,8.090953482,,,7.594050854,8.017636537,8.282313376,8.038464507,8.220536105,,,,7.705118139,7.754136046,7.907528737,7.703518479,7.894717066,7.61883498,,7.893749179,8.000321905,,8.596518095,7.765132645,7.73933711
225,7.938910141,0.245799228,,,,,7.980478456,7.994056565,8.361163001,8.111682291,,,,,,,,7.863573513,7.918855967,,,,7.928818616,,7.645630148,,,7.641346582,,,,,7.685286135,,,,,8.146581723,7.875174332,7.920587882,8.050629627,,,7.712647162,8.118585891,8.151841049,7.966195966,8.243702696,,,,8.028271282,7.984653402,7.851220928,7.713433369,7.916463974,7.818033701,,7.668665847,7.823515304,,8.756569917,7.640451979,7.649186933
230,7.987646732,0.287570831,,,,,8.14425153,7.934867468,8.317005086,8.105764962,,,,,,,,7.941555414,7.82402205,7.925686949,7.76619954,,7.890030536,,7.578953447,,,7.721239081,,,,,7.664399294,,,,,8.388071414,8.005850425,8.221941668,8.173076744,,,7.851997387,8.118377797,8.14297309,8.171078531,8.574311824,,,,8.072391762,8.089797562,7.786500446,7.739617491,8.079223065,7.810885525,,7.598394384,7.752030333,,8.848306177,7.684307291,7.681587143
235,7.967389219,0.317725122,,,,,8.236961737,7.92437397,,8.46969763,,,,,,,,7.860039251,7.874628257,7.784173744,7.843230162,,,,7.666980986,,,7.643245899,,,,,7.698163402,,,,,8.134392488,7.95625248,7.985386264,7.98780944,,,7.789812167,8.068738465,7.997824332,7.951901065,9.012913531,,,,7.968816341,8.043783103,7.776305855,7.846854503,8.110851104,7.803553662,,7.569800305,7.837481116,,8.783308353,7.760257085,7.634139881
240,7.927939379,0.271536873,,,,,8.130525423,8.134184267,,8.441137645,,,,,,,,7.687216372,7.816149418,7.739915418,7.860655317,,,,7.624902426,,,7.586389822,,,,,7.684276249,,,,,8.421881661,7.874711922,8.123776165,7.808261194,,,8.002345977,8.052907748,7.804442419,,8.516201736,,,,7.829918102,7.92454188,7.88513671,7.931055576,7.85009574,7.600048338,,7.634305697,7.899243209,,8.534468116,7.851135156,7.660412296
245,7.962868927,0.26213494,,,,,8.085084557,8.336697238,,8.338491023,,,,,,,,7.835182396,7.633535122,7.918288476,7.89597052,,,,7.667697493,,,7.594459925,,,,,,,7.732452578,,7.902199842,8.268432367,7.910052248,8.245534551,7.829278331,,,7.941300924,8.09127002,7.802151871,,8.801274317,,,,7.896442085,7.894289731,7.904898957,7.882067586,8.066891285,7.703371081,,7.788370703,7.942249684,,8.371450715,7.785845106,7.820837075
250,7.913667927,0.256068845,,,,,,8.074523982,,,,,,,,,,7.757589474,7.651159993,7.818117396,7.640509685,,,,7.799069565,,,7.754881821,,,,,,,7.676369069,8.108802627,7.927649731,8.081014441,8.172341607,7.946384889,7.853201356,,7.995728541,7.894469585,7.898118851,7.861691927,7.835139093,8.987152416,,,,7.82221629,7.760000941,7.959832641,7.898087202,8.141374449,7.539683291,,7.633568481,7.906998966,,8.151322225,7.907909211,7.868795978
