Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_3,1_30,1_31,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_4,2_5,2_6,2_7,2_8,2_9
0,,,,,,,,,,,,,,,,,,,,,,,,9.06867923,9.134653486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,8.960819235,9.143496807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,8.596396493,,,,,,,,,,,,,,8.934082591,8.764868899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,8.623893379,,,,8.86573181,,,,,,,,,9.128510964,8.874030247,8.72985309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,8.636117658,,,,8.77440855,8.416555903,,,,,,,,8.919856692,8.778910145,8.729302578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,8.557012686,,8.314066359,,8.717742228,8.150937741,,,,,,,,9.111719043,8.548641925,8.46661974,,,,,8.685623862,8.640551722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,8.581951145,,8.469835919,,8.732592149,8.333612076,,,,,,,,8.897497056,8.541803692,8.280861545,,,,,8.620431335,8.631223399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,8.440374813,,8.619181827,,8.53249263,8.221563281,,,,,,,,9.012057225,8.339104114,8.387918364,,,,,8.531769386,8.614080844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,7.803170119,0.223754408,,7.543033612,7.695879699,7.839462923,,,,,8.121907992,,,,,,,,8.032770485,7.792200107,7.713453674,7.489621766,,,,,7.654002511,,7.971957361,,,,,8.159052425,,7.449832918,7.863345754,7.891876129,,,,7.79410133,,,,,7.808014941,7.617781043,7.734717748,,7.752544006,7.467957248,7.578521817,,,,,8.118449915,8.204084466,,7.981512993
250,7.898117917,0.232796884,,7.640235233,7.657043792,7.695654336,,,8.099581693,,8.275749638,,,,,,,,7.920363988,7.877939293,7.74621833,7.518411187,,,,,,,8.202435447,,,,,8.008986225,,7.601108639,7.892164926,7.887086708,,,,7.751934232,,,,,7.80295535,7.683942746,7.777333484,,7.849977904,7.899019675,7.744639648,,,8.427438452,8.324946702,8.092442846,8.064320845,,7.909134525
255,7.890479511,0.232652294,,,7.587799438,7.550997127,,,8.161779198,,8.254784911,,,,,,,,7.931789152,7.828227364,7.751392288,7.569583239,,,,,,,8.182703553,,,,,8.025147176,,7.605304661,7.873433204,7.782518346,,,,7.768971987,,,,,7.783429224,7.738345659,7.74803332,,7.939475174,7.858700806,7.646882979,,,8.275547074,8.283189805,8.23209733,7.988159493,,7.893695278
260,7.890316962,0.250207067,,,7.513916177,,,,8.130280278,,,,,,,,,,7.887477182,7.821677303,7.827889944,7.666837011,,,,,,,7.934467426,,,,,7.985713124,,,7.813191462,7.74381044,,,,7.621303382,,,,,7.712918777,7.662588706,7.729216702,,7.784033281,8.155740523,7.722735253,,,8.267830009,8.567559775,8.222031969,7.994728215,,7.821026223
265,7.853568153,0.20929554,,,7.554458238,,,,8.088011785,,,,,,,,,,,7.76903907,7.81636872,7.56037575,,,,,,,8.164705772,,,,,7.979880901,,7.618657253,7.910683867,7.789636723,,,,7.641857116,,,7.61606675,,7.726266557,7.723889447,7.702276532,8.201787098,7.813909989,7.813715832,7.829738939,,,8.132559896,8.29593831,8.01015714,7.943283435,,7.782370554
270,7.900351159,0.223576691,,,,,,,8.053596856,,,,,,,,,,,7.871266931,7.805278361,7.597411254,,,,,,,,,,8.215666273,,7.943862416,8.042950684,7.716095464,7.844698991,7.542348224,,,,7.816143484,7.568441365,,7.691554307,,7.720833992,7.797647489,7.92305538,8.292930726,7.930509306,7.933905837,,,7.707137932,8.365555523,8.285022349,8.011919657,7.995322699,,7.835623473
275,7.863237902,0.22145098,,,,,,,8.034971421,,,,,,,,,,,7.739486712,7.818085251,7.529620886,,,,,,,,,,7.978541362,,7.920236264,7.887683782,7.485927535,7.780184842,7.849186024,,7.991806318,7.883073039,7.756296956,7.555645623,7.503094569,7.584289223,,7.725463335,7.744845515,7.855798178,8.425071579,7.924622069,7.791146883,7.966351987,,7.793976125,8.231398602,7.999980518,8.170277564,8.162834923,,7.944002069
280,7.864742451,0.231850446,,,,,,,8.041172257,,,,,,,,,,,7.718194199,7.816749464,7.512427388,,,,,,,,,,8.128740816,,7.789528437,7.969320237,7.749010339,7.725904324,7.703494837,,7.947177579,8.062870607,,7.601197207,7.614426193,7.579297227,,7.749559505,7.759060095,7.880996376,8.205315984,,7.55658847,7.889284284,,7.675459144,8.427639217,7.920132912,8.279084645,8.036819365,,8.008595072
285,7.89650484,0.249001018,,,,,,,8.151551648,,,,,,,,,,,7.830717644,7.812091516,7.577891756,,,,,,,,,,8.295897321,7.800482274,7.85039381,8.099204645,7.632041237,7.848430711,7.787104549,,8.164899347,8.10448333,,7.580938645,7.541837684,7.605692108,,7.696664561,7.749756526,7.759386471,8.253258304,,7.582270877,,,7.766923154,8.28462875,8.304819535,8.110989435,8.0375979,,7.975676943
290,7.890771879,0.251943623,,,,,,,8.007710501,,,,,,,,,,,8.032669752,7.782549276,7.567681992,,,,,,,,,,8.381684598,7.907087405,7.994361778,8.143607286,7.591769432,7.665568878,7.757621663,,7.690552513,8.13363191,,7.63312718,7.53723768,7.544796948,,7.658427085,,7.825558723,8.221931287,,7.649760919,,,7.806170965,8.205165069,8.215500192,8.096303382,8.153767279,,7.955825169
